page;product_name;model_name;model_sku;price;codici_modelli
220;Datori d'impulso elettronici;XKP W 868 INOX;404038;236,00;"786041; 786040; 790904; 785529; 785527; 404039; 404037; 404038"
223;Alimentatore supplementare;XTR B;786041;133,00;"786041; 786040; 790904; 785529; 785527"
223;Alimentatore supplementare;XTR B INOX;786040;194,00;"786041; 786040; 790904; 785529; 785527"
223;Alimentatore supplementare;MINISERVICE;790904;135,00;"786041; 786040; 790904; 785529; 785527"
223;Alimentatore supplementare;FG1 monocanale;785529;411,00;"786041; 786040; 790904; 785529; 785527"
223;Alimentatore supplementare;FG2 bicanale;785527;636,00;"786041; 786040; 790904; 785529; 785527"
224;Fotocellule da parete orientabili;XP 20B D;785103;79,00;"785103; 785102; 785104"
224;Fotocellule da parete orientabili;XP 20 D;785102;79,00;"785103; 785102; 785104"
224;Fotocellule da parete orientabili;XP 20W D;785104;98,00;"785103; 785102; 785104"
226;Fotocellule da parete o incasso;KIT A MISURA;105536;249,00;"105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
226;Fotocellule da parete o incasso;*IL KIT CONTIENE:;105538;302,00;"105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
226;Fotocellule da parete o incasso;;105531;320,00;"105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
226;Fotocellule da parete o incasso;;105547;512,00;"105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
226;Fotocellule da parete o incasso;XP 30B;785106;109,00;"105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
226;Fotocellule da parete o incasso;XP 30B INOX;7851061;166,00;"105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
226;Fotocellule da parete o incasso;XP 30;785105;104,00;"105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
226;Fotocellule da parete o incasso;XP 30 INOX;7851051;162,00;"105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
227;XS Costa di sicurezza;CN 60 E;785200;221,00;"785200; 105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
227;XS Costa di sicurezza;KIT A MISURA;105536;249,00;"785200; 105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
227;XS Costa di sicurezza;*IL KIT CONTIENE:;105538;302,00;"785200; 105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
227;XS Costa di sicurezza;;105531;320,00;"785200; 105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
227;XS Costa di sicurezza;;105547;512,00;"785200; 105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
227;XS Costa di sicurezza;XP 30B;785106;109,00;"785200; 105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
227;XS Costa di sicurezza;XP 30B INOX;7851061;166,00;"785200; 105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
227;XS Costa di sicurezza;XP 30;785105;104,00;"785200; 105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
227;XS Costa di sicurezza;XP 30 INOX;7851051;162,00;"785200; 105536; 105538; 105531; 105547; 785106; 7851061; 785105; 7851051"
234;Sensori Laser;M60;736425;119,00;"736425; 736426; 736427; 736428; 736429"
234;Sensori Laser;;736426;124,00;"736425; 736426; 736427; 736428; 736429"
234;Sensori Laser;;736427;128,00;"736425; 736426; 736427; 736428; 736429"
234;Sensori Laser;;736428;138,00;"736425; 736426; 736427; 736428; 736429"
234;Sensori Laser;;736429;155,00;"736425; 736426; 736427; 736428; 736429"
235;M60 Costa elettromeccanica;M60;736425;119,00;"736425; 736426; 736427; 736428; 736429"
235;M60 Costa elettromeccanica;;736426;124,00;"736425; 736426; 736427; 736428; 736429"
235;M60 Costa elettromeccanica;;736427;128,00;"736425; 736426; 736427; 736428; 736429"
235;M60 Costa elettromeccanica;;736428;138,00;"736425; 736426; 736427; 736428; 736429"
235;M60 Costa elettromeccanica;;736429;155,00;"736425; 736426; 736427; 736428; 736429"
238;Accessori e materiali di consumo;"Olio idraulico &quot;FAAC HP OIL&quot;";714017;35,00;"714017; 714041; 401026; 712650; 712990; dal 712651001; dal 712652001"
238;Accessori e materiali di consumo;;714041;234,00;"714017; 714041; 401026; 712650; 712990; dal 712651001; dal 712652001"
238;Accessori e materiali di consumo;BLOCKIT;401026;61,00;"714017; 714041; 401026; 712650; 712990; dal 712651001; dal 712652001"
238;Accessori e materiali di consumo;Elettroserratura 12V~ completa di controbocchetta a pavimento;712650;124,00;"714017; 714041; 401026; 712650; 712990; dal 712651001; dal 712652001"
238;Accessori e materiali di consumo;"Controbocchetta a pilastro (cancelli ad un&apos;anta)";712990;16,50;"714017; 714041; 401026; 712650; 712990; dal 712651001; dal 712652001"
